method,macro_mae,macro_rmse,median_energy_abs_pct,mean_spearman,mean_top1,n_masks
Context KNN,0.06323801572509419,0.07253996190174039,7.93700007924732,0.1886917957202675,0.4032407407407408,240
Correlation Summary,0.020731388490105154,0.028131563458257645,1.613472798265773,0.6033041151930347,0.6685185185185185,240
Iterative SVD,0.01913042597887705,0.02855225946031008,0.598939015326742,0.7039288170880196,0.6763888888888889,240
Linear Interpolation,0.036604879898184915,0.04546014741570336,1.1162724521612484,0.819895210927497,0.8032407407407406,240
Masked Context,0.019966067596960846,0.02740480520953824,1.4346211342492827,0.6143344016989705,0.6509259259259259,240
Peer Median,0.03548215116384945,0.05223663847832024,1.4340737783430857,,0.2148148148148148,240
Ridge Context,0.04040999600273861,0.04760234601391173,3.36683837101944,0.58657920244127,0.6421296296296297,240
